"","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt2.WMS","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV199",0,0.0504388531304857,0.00407221392697163,0,0,0,0,0,0
"ASV276",0,0,0,0,0,0,0,0,0.00647773279352227
"ASV396",0,0.0221181977764775,0,0,0,0,0,0.00549752611324904,0
"ASV292",0,0.0121708601521358,0,0,0,0,0,0,0
"ASV77",0,0.00421299005266238,0.0196823673136962,0,0.0191727963342578,0,0,0.0252886201209456,0.0188548293811452
"ASV44",0,0,0,0,0.0501627878934041,0.0794789227166276,0.0676757386115558,0.0227231079347627,0.0374783111625217
"ASV855",0,0,0,0,0,0,0,0.00430639545537841,0
"ASV383",0,0,0,0,0,0,0,0.00384826827927433,0
"ASV734",0.0088134135855546,0,0,0,0,0,0,0,0
"ASV155",0,0.00795787009947338,0,0,0,0,0.00756803958666861,0,0.0126084441873916
"ASV798",0,0,0,0,0,0,0,0.00641378046545721,0
"ASV475",0,0.0148624926857812,0,0,0,0,0,0.0147516950705516,0
"ASV366",0,0,0.00366499253427447,0,0,0.00673302107728337,0,0,0
"ASV1089",0,0,0,0,0,0,0.00218308834230825,0,0
"ASV257",0,0.0121708601521358,0,0,0,0,0,0,0
"ASV901",0,0,0.00420795439120402,0,0,0,0,0.00467289719626168,0
"ASV828",0,0,0,0,0,0,0,0.00595565328935312,0.00242914979757085
"ASV296",0,0,0,0,0.00289400699385023,0,0,0,0
"ASV235",0,0.0231714452896431,0.0359712230215827,0,0,0,0,0,0
"ASV720",0.00709372312983663,0,0,0,0,0,0.0126619123853879,0,0
"ASV284",0.0103181427343078,0,0,0,0,0,0,0,0
"ASV528",0,0,0,0.00983780909332624,0,0,0,0,0
"ASV112",0,0,0,0,0,0.0543032786885246,0,0,0
"ASV205",0,0,0,0,0,0,0.00654926502692476,0,0
"ASV624",0,0,0,0,0,0,0.0161548537330811,0,0
"ASV208",0.0194539982803095,0,0.0389575132346953,0,0,0,0,0.00641378046545721,0
"ASV187",0.0117153912295787,0,0,0.0118319595852167,0,0,0,0,0
"ASV774",0,0.00631948507899356,0.0100447943531967,0,0,0,0,0,0
"ASV356",0.0218185726569218,0,0,0,0,0,0,0,0
