"","SEnd.1A.02.WMS","SEnd.1B.05.WMS","SEnd.1C.04.WMS","SEnd.1C.06.WMS","SEnd.1D.07.WMS","SEnd.2C.04.WMS","SEnd.2C.06.WMS","SEnd.2D.05.WMS","SEnd.2D.07.WMS","SEnd.2D.09.WMS","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS"
"ASV544",0,0,0,0,0,0,0,0,0,0,0.00807955251709136,0,0,0,0,0,0.0502890173410405,0,0,0.0163788499198861,0,0,0.0103746397694524,0,0,0.0286798819063686,0,0
"ASV25",0,0,0,0.0162044250545341,0.151379917792132,0,0,0,0,0.0370104204096299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV324",0,0,0,0,0,0,0.0297932001402033,0,0,0,0,0,0,0,0,0.00590944642391588,0,0,0.0229588546369147,0,0,0.0281359906213365,0,0,0,0,0,0
"ASV96",0.0337582417582418,0,0,0.0216059000727122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045707656612529,0,0,0
"ASV210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680815297331372,0,0,0.00925449871465296,0,0,0.0463909164639092,0,0,0.0111571565189672,0,0,0.0156187424909892,0
"ASV120",0,0,0,0,0,0,0,0,0,0,0.0559353635798633,0,0,0.0365009439899308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401536983669549,0,0,0,0,0
"ASV77",0,0,0,0,0,0,0,0,0,0,0.0074580484773151,0,0,0,0,0,0,0,0,0,0,0,0.00710854947166186,0,0,0,0,0
"ASV127",0,0,0,0,0,0,0,0.0536734978391189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV22",0.000703296703296703,0.00109962612711678,0,0,0.00481503229594833,0.0174081237911025,0,0,0,0,0,0.0128968253968254,0.00252812539501959,0,0,0,0,0.0365038560411311,0,0.0384546911162542,0,0,0.0643611911623439,0.0414408670704495,0,0,0,0
"ASV54",0,0,0,0,0,0,0,0.0156141084622891,0,0.0652173913043478,0.0355811062771908,0.0603505291005291,0,0.0303650094398993,0.0607270434965329,0,0,0.0314910025706941,0,0,0,0,0,0.0784188715333121,0,0,0,0
"ASV191",0,0,0,0,0,0,0,0,0,0,0.014449968924798,0,0,0.026117054751416,0,0,0.0254335260115607,0,0,0,0,0,0.0428434197886647,0,0,0,0,0
"ASV187",0,0,0,0,0,0,0,0,0,0,0,0.0174437830687831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV809",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106985525487728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV125",0,0,0,0,0.0220786846741045,0,0,0,0,0,0,0,0,0.026431718061674,0,0,0.0345375722543353,0,0,0,0,0,0,0,0,0.0668494306199916,0,0
"ASV659",0,0,0,0,0,0,0,0,0,0,0.0156929770043505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV196",0,0,0,0,0,0,0,0.041265858078907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1049",0,0,0,0,0,0,0,0,0,0.00413223140495868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210252302763316,0
"ASV847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088150289017341,0,0,0,0,0,0,0,0,0,0,0
"ASV453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000782132614930043,0.00505780346820809,0,0,0,0,0,0,0,0,0,0,0
"ASV807",0,0.00747745766439411,0,0,0,0,0.00595864002804066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV808",0,0,0,0,0.00798590722254844,0,0,0,0,0,0,0,0,0,0,0,0.00245664739884393,0,0,0,0,0,0,0,0,0,0,0
"ASV810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00590944642391588,0,0,0,0,0,0,0,0,0,0,0,0.005978898007034
"ASV128",0.0136263736263736,0,0,0,0,0,0.0380301437083771,0,0.0472525988929391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV794",0,0,0,0,0,0,0,0,0,0,0.0108763206960845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV937",0,0,0,0,0.00986494421608925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV620",0.00984615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV45",0.0128351648351648,0,0,0.0127765659083827,0,0,0,0,0.0731740245713514,0,0,0,0,0,0,0,0,0,0.0190893847542887,0,0,0.0177152533541748,0,0,0.0208816705336427,0,0,0.0297772567409144
"ASV963",0,0,0,0.00394723174405318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151670951156812,0,0,0,0,0,0,0,0,0,0
"ASV224",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140025173064821,0.0573649926455138,0,0,0,0,0,0.0240064882400649,0,0,0,0,0.0107549557148882,0,0
"ASV7",0,0,0,0.0210865274748104,0,0.00241779497098646,0.0495969155275149,0,0,0,0,0,0,0,0,0.0144260015642652,0,0,0.0290210241196956,0,0,0,0,0,0.0283062645011601,0,0,0.0519343493552169
"ASV134",0,0,0,0,0,0,0,0,0,0,0,0.019510582010582,0,0,0,0,0,0.0124678663239075,0,0,0.0953771289537713,0,0,0,0,0,0.0588706447737285,0
"ASV525",0.0146813186813187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651777179108369,0,0,0,0,0,0.00169336980591377,0,0,0.00765661252900232,0,0,0
"ASV599",0,0,0,0,0,0,0,0,0,0,0,0.00992063492063492,0,0,0.0178608951460391,0,0,0.00951156812339332,0,0.0154886950329357,0.00940794809407948,0.00638270157613651,0,0.0102008288173414,0,0,0,0
"ASV182",0.0267252747252747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV79",0,0,0,0,0,0,0,0,0,0,0,0.0172784391534392,0,0,0,0,0,0,0,0.0144205091685953,0,0,0,0.00648177664435235,0,0,0,0
"ASV393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442196531791908,0,0,0,0,0,0,0,0,0.0328975115984817,0,0
"ASV876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010566762728146,0,0,0,0,0
"ASV374",0,0,0,0,0,0,0,0,0,0,0,0,0.00644671975729996,0,0,0.0155557486747197,0,0,0.0254095188959113,0,0,0,0,0,0.00754060324825986,0,0,0
"ASV282",0,0,0,0,0,0.0404577691811734,0,0,0,0,0,0.0194279100529101,0,0,0,0,0,0.0185089974293059,0,0,0,0,0,0.0167888640952077,0,0,0,0
"ASV176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199922610602347,0,0,0.0105509964830012,0,0,0.0452436194895592,0,0,0.011957796014068
"ASV428",0,0,0,0,0,0,0,0,0,0,0,0.00785383597883598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736994219653179,0.00758354755784062,0,0.00943564180167349,0.0097323600973236,0,0.0126801152737752,0.0113696737859951,0,0,0,0
"ASV315",0.0245274725274725,0.0240818121838575,0,0,0.00892542571931885,0,0,0,0,0.0305425799496946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV289",0.0203956043956044,0,0,0.0124649423496416,0,0,0,0,0,0,0,0,0.00948047023132347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV854",0,0,0,0,0.00692894891368174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696504578872694,0,0,0,0,0,0.00672853828306265,0,0,0.00468933177022274
