"","SEnd.1A.02.WMS","SEnd.1B.05.WMS","SEnd.1C.04.WMS","SEnd.1C.06.WMS","SEnd.1D.07.WMS","SEnd.2C.04.WMS","SEnd.2C.06.WMS","SEnd.2D.05.WMS","SEnd.2D.07.WMS","SEnd.2D.09.WMS","SEnd1.WAT","SEnd2.WAT","SEnd3.WAT","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS","WEnd1.WAT","WEnd2.WAT","WEnd3.WAT","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt2.WMS","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV456",0.0192527472527473,0.016054541455905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294526608519783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146284376828555,0.0342065969865617,0,0,0,0,0,0
"ASV1031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000861326442721792,0,0,0,0,0,0,0,0,0,0
"ASV577",0,0,0,0,0,0,0,0,0,0.00988142292490119,0,0,0,0,0,0,0.00361862806796728,0.0109266652658121,0,0,0,0,0,0.0139497161394972,0,0,0,0,0,0.0250300360432519,0,0,0,0,0,0,0,0,0,0,0,0.00613890415979476,0
"ASV599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00992063492063492,0,0,0.0178608951460391,0,0,0.00951156812339332,0,0.0154886950329357,0.00940794809407948,0.00638270157613651,0,0.0102008288173414,0,0,0,0,0,0,0,0,0,0,0,0.0133847823465573,0,0,0,0.00358588779641411
"ASV791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00897484515231955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657312602705094,0,0,0,0,0,0,0.040591062844935,0,0,0,0,0,0,0,0,0,0,0.00995755794972249,0,0,0,0,0,0,0,0,0
"ASV428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785383597883598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200892857142857,0,0,0,0,0,0,0,0,0,0,0,0.011688449686537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
