"","F01.21.GEL","F01.21.WAT","F04.21.GEL","F04.21.SED","F04.21.WAT","F07.20.COR","F07.20.GEL","F07.20.SED","F07.20.WMS","F07.21.COR","F07.21.GEL","F07.21.SED","F07.21.WAT","F09.21.GEL","F09.21.SED","F09.21.WAT","F09.21.WMS","F10.20.GEL","F10.20.SED","F10.20.WAT","F10.20.WMS","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS","WSt1.1A.04.GEL","WSt1.1A.COR","WSt2.1A.05.GEL","WSt2.1C.COR","WSt3.1A.06.GEL","WSt3.2C.COR"
"ASV202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116966580976864,0,0,0,0,0,0.0310275209860801,0,0,0,0,0,0,0,0,0,0
"ASV929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00640372580410421,0
"ASV698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00890162945081473,0,0,0.00442421944128429,0,0,0.00799513339706266,0,0,0.00838385141235651,0,0,0,0,0,0,0,0,0.00656506447831184,0,0,0,0,0,0
"ASV1027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00372241425152885,0,0,0
"ASV649",0.00190791147290766,0,0,0,0,0,0.00179340028694405,0,0,0,0,0,0,0.00307258993726796,0,0,0,0,0,0,0,0,0,0,0,0.00231140996007565,0,0,0.0133676092544987,0,0,0,0,0,0,0,0,0,0,0.00537403267411866,0,0,0,0,0
"ASV622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161849710982659,0,0,0,0,0,0,0,0,0,0,0,0,0.00456407255705091,0,0,0,0
"ASV712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193832599118943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356750152718387,0,0,0,0,0,0,0.0537226646441663,0,0,0,0,0,0.030568812072746,0,0,0.016021883548261,0,0,0,0,0,0,0,0,0,0,0,0
"ASV145",0,0,0,0,0,0,0,0,0,0,0.0321008885067355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV470",0,0,0,0,0,0,0,0,0,0,0,0.00219514872132587,0,0,0,0,0,0,0,0,0.0223295111647556,0,0,0,0,0,0,0,0,0,0,0,0.0106812556988407,0,0,0,0,0,0,0,0,0,0,0.00873235336923301,0
"ASV995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295472321195794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305886243386243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00310752019888129,0,0,0.00456261799874135,0.0203824332843034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00773860705073087,0,0,0.00976727360424454,0,0.0100787978742899
"ASV1102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000797660196756182,0,0,0
"ASV987",0,0,0,0,0,0,0,0.00671834625322997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442851117671868,0,0,0,0,0,0,0,0
"ASV335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096168294515402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345498783454988,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV551",0.00750445179343678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159170384661763,0,0
"ASV250",0,0,0,0,0,0,0,0,0.026419394944053,0,0,0,0,0,0,0,0.0135613927916921,0,0,0,0,0,0,0,0,0,0.0112974711045451,0,0,0,0,0,0,0,0,0.00603248259860789,0,0,0,0,0,0,0,0,0
"ASV260",0,0,0,0,0,0.0371906949177656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
